,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,condition_code,grade_code,age,renovated,waterfront_coded,view_coded,lon,To_drop_place_ID,To_drop_road,Type_place,city,suburb
0,7129300520,221900.0,3,1.0,1180,5650,1.0,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,3,7,59,False,0,0,-122.257,159583259.0,61st Avenue South,city,Seattle,
1,6414100192,538000.0,3,2.25,2570,7242,2.0,2170,400.0,1951,1991.0,98125,47.721,-122.319,1690,7639,3,7,63,True,0,0,-122.319,159668720.0,Northeast 127th Street,city,Seattle,Northgate
2,5631500400,180000.0,2,1.0,770,10000,1.0,770,0.0,1933,0.0,98028,47.7379,-122.233,2720,8062,3,6,82,False,0,0,-122.233,74808506.0,81st Avenue Northeast,town,Kenmore,Moorlands
3,2487200875,604000.0,4,3.0,1960,5000,1.0,1050,910.0,1965,0.0,98136,47.5208,-122.393,1360,5000,5,7,49,False,0,0,-122.393,156392831.0,Fauntleroy Way Southwest,city,Seattle,Fauntleroy
4,1954400510,510000.0,3,2.0,1680,8080,1.0,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503,3,8,28,False,0,0,-122.045,293729110.0,221st Avenue Northeast,town,Sammamish,
5,7237550310,1230000.0,4,4.5,5420,101930,1.0,3890,1530.0,2001,0.0,98053,47.6561,-122.005,4760,101930,3,11,13,False,0,0,-122.005,171739199.0,Northeast Patterson Way,town,Union Hill-Novelty Hill,
6,1321400060,257500.0,3,2.25,1715,6819,2.0,1715,0.0,1995,0.0,98003,47.3097,-122.327,2238,6819,3,7,19,False,0,0,-122.327,231273919.0,South 330th Place,town,Federal Way,
7,2008000270,291850.0,3,1.5,1060,9711,1.0,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711,3,7,52,False,0,0,-122.315,233169960.0,14th Avenue South,town,Des Moines,
8,2414600126,229500.0,3,1.0,1780,7470,1.0,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113,3,7,55,False,0,0,-122.337,231507650.0,Southwest 102nd Street,city,Seattle,White Center
9,3793500160,323000.0,3,2.5,1890,6560,2.0,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570,3,7,12,False,0,0,-122.031,219998079.0,232nd Place Southeast,town,Maple Valley,Danville
